level,type,text,question1,question2
2,narrative,"""My name is Yuki. I am a university student. Last month, I started a new part-time job at a small coffee shop near my school.\n""
""I was very worried on my first day. I had never worked at a coffee shop before. The manager, Mr. Tanaka, was very kind. He showed me how to make coffee and how to talk to customers. The other workers were also friendly. They helped me when I had problems.\n""
""At first, everything was difficult. I could not remember the names of all the drinks. I was slow when I made coffee. Sometimes I made mistakes with the money. I felt bad when customers had to wait a long time.\n""
""But after two weeks, things became easier. I could make coffee faster. I learned the names of regular customers. They were happy to see me and always said ""Good morning!"" with big smiles. This made me feel good.\n""
""Now I really like my job. I work there three days a week after my classes. I earn enough money to buy books and food. More importantly, I learned how to work with other people. I also became more confident when I talk to new people.\n""
""My parents are happy that I have a job. They say I am becoming more responsible. My friends sometimes come to the coffee shop to see me work. They say I look happy when I serve customers.\n""
""I want to continue this job until I finish university. Working at the coffee shop taught me many important things about life and people.\n""",ユキがアルバイトを始めた時に困ったことを2つ挙げ、それがどうやって良くなったかを説明してください。（50語以内）,このアルバイトでユキはどんなことを学んだと思いますか。テキストに書かれていることを使って答えてください。（50語以内）
2,expository,"""Green spaces in cities are very important for our environment and our health. Many cities around the world are trying to create more parks, gardens, and trees in their urban areas.\n""
""Cities with more green spaces have cleaner air. Trees and plants take in carbon dioxide and give out oxygen. This helps reduce air pollution, which is a big problem in many cities. When people breathe cleaner air, they have fewer health problems like breathing difficulties and heart disease.\n""
""Green spaces also help control the temperature in cities. Cities are usually hotter than the countryside because buildings and roads absorb heat from the sun. Trees provide shade and cool the air around them. This reduces the need for air conditioning in buildings, which saves energy and money.\n""
""Parks and gardens give people places to exercise and relax. Many city people do not have gardens at their homes. Public green spaces allow them to enjoy nature without leaving the city. Children can play safely in parks. Adults can walk, run, or sit quietly under trees. This is good for both physical and mental health.\n""
""Green spaces are also important for animals and birds. Even small parks can provide homes for different types of wildlife. This helps maintain biodiversity in urban areas. Birds, insects, and small animals need these green areas to survive in cities.\n""
""However, creating green spaces in cities is not easy. Land in cities is expensive, so it costs a lot of money to buy areas for parks. Sometimes old buildings must be removed to make space for new parks. This can be difficult because people may lose their homes or businesses.\n""
""City governments must also maintain green spaces after they create them. Parks need regular care to keep them clean and safe. Trees need water, especially during hot summers. This requires money and workers.\n""
""Another challenge is making sure all parts of the city have green spaces. Often, rich areas have more parks than poor areas. City planners must work to create fair access to green spaces for all citizens.\n""
""Despite these challenges, many cities are finding creative ways to add more green areas. Some cities plant trees along streets and on building rooftops. Others create small pocket parks in empty spaces between buildings.\n""",都市の緑が環境と健康に良い理由を2つ挙げて、簡単に説明してください。（50語以内）,都市で緑を増やすのが難しい理由は何だと思いますか。テキストの内容から答えてください。（50語以内）
3,narrative,"""My name is Yuki. I am a university student majoring in economics. Last month, I decided to apply for a part-time position at a cozy coffee shop located near my campus.\n""
""I felt extremely nervous on my first day of work. I had never gained experience in the service industry before. The manager, Mr. Tanaka, was incredibly patient and understanding. He demonstrated the proper techniques for preparing various coffee drinks and explained how to interact professionally with customers. My colleagues were equally supportive and offered assistance whenever I encountered difficulties.\n""
""Initially, every task seemed overwhelming. I struggled to memorize the extensive menu of beverages and their specific ingredients. My movements were slow and clumsy when operating the coffee machine. Occasionally, I made errors while handling cash transactions, which embarrassed me greatly. I felt terrible when customers became impatient due to long waiting times.\n""
""However, after approximately two weeks of consistent practice, my performance improved significantly. I developed greater efficiency in coffee preparation and gradually memorized the preferences of regular customers. These familiar faces always greeted me warmly with cheerful ""Good morning!"" expressions, which boosted my confidence considerably.\n""
""Currently, I genuinely enjoy my employment at the coffee shop. I maintain a schedule of working three afternoons weekly after completing my academic classes. The income I earn enables me to purchase textbooks and cover daily expenses independently. More importantly, this experience taught me valuable lessons about teamwork and communication skills. I also gained confidence in social interactions with diverse individuals.\n""
""My parents express pride in my newfound responsibility and independence. My university friends occasionally visit the establishment to observe my progress, commenting that I appear genuinely content while serving customers.\n""
""I intend to continue this position throughout my remaining university years. This coffee shop experience has provided me with practical insights about professional life and human relationships.\n""",ユキがアルバイトを始めた時に経験した困難を2つ挙げ、それらがどのように改善されたかを説明してください。（50語以内）,このアルバイト体験でユキはどのようなことを学んだと考えられますか。テキストの内容を根拠に答えてください。（50語以内）
3,expository,"""Urban green spaces represent a crucial component of sustainable city development and significantly contribute to environmental quality and public health. Metropolitan areas worldwide increasingly recognize the importance of incorporating parks, gardens, and vegetation into their urban planning strategies.\n""
""Cities with abundant green infrastructure demonstrate measurably cleaner air quality. Trees and vegetation function as natural air purifiers by absorbing carbon dioxide and releasing oxygen through photosynthesis. This biological process effectively reduces atmospheric pollution, which constitutes a major environmental challenge in densely populated urban centers. When residents breathe cleaner air consistently, they experience reduced incidence of respiratory diseases, cardiovascular problems, and other pollution-related health complications.\n""
""Green spaces also provide essential climate regulation within urban environments. Cities typically experience elevated temperatures compared to surrounding rural areas due to the urban heat island effect, where concrete surfaces and buildings absorb and retain solar radiation. Trees offer natural cooling through shade provision and evapotranspiration processes, which release moisture into the atmosphere. This natural cooling mechanism reduces dependency on energy-intensive air conditioning systems, resulting in decreased electricity consumption and associated costs.\n""
""Public parks and gardens provide accessible recreational opportunities for urban residents. Many city dwellers lack private outdoor spaces, making community green areas essential for physical activity and mental wellness. These spaces accommodate diverse activities including jogging, cycling, yoga, and family gatherings. Children benefit from safe outdoor play environments, while adults can engage in exercise routines or simply relax in natural settings. Regular exposure to nature has proven psychological benefits, including stress reduction and improved mood.\n""
""Urban green spaces also support biodiversity conservation by providing habitats for various wildlife species. Even relatively small parks can sustain populations of birds, insects, and small mammals, contributing to ecological balance within metropolitan areas. These green corridors enable species movement and genetic diversity maintenance, which are essential for urban ecosystem health.\n""
""Nevertheless, implementing comprehensive urban greening programs presents significant challenges. Prime urban real estate commands extremely high prices, making land acquisition for park development financially demanding. Sometimes, existing structures require demolition to accommodate new green spaces, potentially displacing residents or businesses and creating social tensions.\n""
""Municipal governments must allocate substantial resources for ongoing maintenance of green infrastructure. Parks require regular landscaping, irrigation systems, safety monitoring, and facility upkeep. During drought periods, maintaining vegetation becomes particularly expensive and resource-intensive.\n""
""Ensuring equitable distribution of green spaces across all neighborhoods represents another critical challenge. Affluent districts often possess superior access to quality parks compared to lower-income areas. Urban planners must prioritize fair distribution of environmental amenities to prevent environmental injustice.\n""
""Despite these obstacles, innovative cities are developing creative solutions for expanding urban vegetation. Strategies include vertical gardens on building facades, rooftop gardens, and pocket parks in underutilized spaces between structures.\n""",都市緑化が環境と健康に与える効果を2つ挙げて、それぞれを簡潔に説明してください。（50語以内）,都市緑化を進める上で最も大きな課題は何だと思いますか。テキストの内容を参考に答えてください。（50語以内）
4,narrative,"""My name is Yuki. I am a university student pursuing a degree in economics. Last month, I decided to seek employment at a charming coffee establishment situated adjacent to my campus.\n""
""I experienced considerable anxiety on my inaugural workday. I had never acquired expertise in the hospitality sector previously. The manager, Mr. Tanaka, demonstrated remarkable patience and compassion. He illustrated the precise methodologies for crafting diverse coffee beverages and elucidated appropriate customer service protocols. My colleagues exhibited exceptional solidarity and provided guidance whenever I encountered obstacles.\n""
""Initially, every responsibility appeared daunting and complex. I struggled to memorize the comprehensive menu featuring numerous specialty drinks and their intricate compositions. My coordination was awkward while manipulating the sophisticated espresso machinery. ""Periodically, I committed computational errors during financial transactions, causing me profound mortification. I felt distressed when patrons displayed irritation due to prolonged service delays.\n""
""Nevertheless, following approximately two weeks of dedicated practice and perseverance, my competency advanced substantially. I cultivated enhanced proficiency in beverage preparation and systematically absorbed the individual preferences of habitual customers. ""These familiar individuals consistently acknowledged me with enthusiastic salutations, which elevated my self-assurance tremendously.\n""
""Presently, I derive genuine satisfaction from my occupation at this establishment. I maintain a routine of working three afternoons weekly following the completion of my academic obligations. The compensation I receive facilitates my ability to procure educational materials and manage personal expenditures autonomously. More significantly, this experience imparted invaluable knowledge regarding collaborative dynamics and interpersonal communication strategies. I also cultivated confidence in engaging with individuals from diverse backgrounds.\n""
""My parents articulate tremendous pride regarding my emerging maturity and self-reliance. My university peers periodically frequent the café to observe my professional development, remarking that I manifest authentic contentment while attending to clientele.
""I aspire to maintain this position throughout my remaining undergraduate tenure. This coffee shop venture has furnished me with pragmatic understanding of occupational responsibilities and human interaction complexities.\n""",ユキがアルバイトを始めた当初に直面した困難を2つ挙げ、それらがどのように解決されたかを説明してください。（50語以内）,このアルバイト経験でユキが習得したスキルはどのようなものだと考えられますか。テキストの内容を根拠に答えてください。（50語以内）
4,expository,"""Urban green infrastructure constitutes a fundamental element of sustainable metropolitan development and substantially influences environmental quality and public health outcomes. Cities worldwide increasingly acknowledge the critical importance of integrating vegetation, parks, and natural landscapes into comprehensive urban planning frameworks.\n""
""Metropolitan areas featuring extensive green infrastructure demonstrate quantifiably superior air quality metrics. Trees and botanical species function as sophisticated biological filtration systems, absorbing atmospheric carbon dioxide while simultaneously releasing oxygen through photosynthetic processes. This natural purification mechanism effectively mitigates airborne pollutants, which constitute a predominant environmental hazard in densely populated urban centers. When residents consistently inhale cleaner atmospheric conditions, they experience significantly reduced prevalence of respiratory ailments, cardiovascular complications, and other pollution-induced health disorders.\n""
""Green spaces additionally provide essential thermoregulation within urban environments. Cities characteristically exhibit elevated temperatures compared to peripheral rural regions due to the urban heat island phenomenon, wherein concrete infrastructure and architectural structures absorb and retain solar thermal energy. Trees offer natural cooling mechanisms through shade provision and evapotranspiration processes, which discharge moisture vapor into the surrounding atmosphere. This organic cooling system diminishes reliance on energy-intensive climate control technologies, consequently reducing electricity consumption and associated operational expenditures.\n""
""Public parks and botanical gardens furnish accessible recreational opportunities for metropolitan inhabitants. Numerous urban residents lack private outdoor spaces, rendering communal green areas indispensable for physical activities and psychological wellness. These environments accommodate diverse pursuits including cardiovascular exercise, meditation practices, and social gatherings. Children benefit from secure outdoor recreational facilities, while adults can participate in fitness regimens or simply rejuvenate in natural surroundings. Consistent exposure to natural environments demonstrates proven therapeutic benefits, including stress alleviation and enhanced emotional well-being.\n""
""Urban green corridors also facilitate biodiversity conservation by establishing habitats for various wildlife populations. Even relatively modest parks can sustain communities of avian species, arthropods, and small mammals, contributing to ecological equilibrium within metropolitan ecosystems. These green networks enable species migration and genetic diversity preservation, which are crucial for urban environmental stability.\n""
""However, implementing comprehensive urban greening initiatives presents formidable challenges. Prime metropolitan real estate commands exceptionally high market values, making land acquisition for park development economically prohibitive. Occasionally, existing infrastructure requires demolition to accommodate new green spaces, potentially displacing residential or commercial establishments and generating community opposition.\n""
""Municipal administrations must allocate substantial financial resources for continuous maintenance of green infrastructure. Parks demand regular horticultural care, irrigation systems, security surveillance, and facility maintenance. During periods of drought, sustaining vegetation becomes particularly costly and resource-demanding.\n""
""Ensuring equitable geographical distribution of green amenities across all neighborhoods represents another significant challenge. Affluent districts typically possess superior access to premium recreational facilities compared to economically disadvantaged areas. Urban planners must prioritize fair allocation of environmental resources to prevent ecological inequality.\n""
""Despite these impediments, progressive cities are developing innovative strategies for expanding urban vegetation, including vertical gardens, rooftop ecosystems, and micro-parks in underutilized urban spaces.\n""",都市緑化が環境と健康に もたらす利益を2つ挙げて、それぞれのメカニズムを説明してください。（50語以内）,都市緑化事業を実施する際の主要な障害は何だと思いますか。テキストの内容に基づいて答えてください。（50語以内）
5,narrative,"""My name is Yuki. I am an undergraduate student pursuing a specialized degree in economics. Last month, I resolved to seek employment at an intimate coffee establishment strategically positioned adjacent to my university campus.\n""
""I experienced overwhelming apprehension on my inaugural working day. I had never previously cultivated expertise within the hospitality industry. The manager, Mr. Tanaka, exhibited extraordinary patience and benevolence throughout my orientation. He meticulously demonstrated the sophisticated techniques required for crafting diverse artisanal coffee beverages and articulated comprehensive customer service protocols. My colleagues manifested exceptional camaraderie and consistently offered mentorship whenever I encountered procedural difficulties.\n""
""Initially, every operational responsibility seemed formidable and overwhelming. I struggled to assimilate the extensive menu encompassing numerous specialty beverages with their intricate compositional requirements. My manual dexterity proved inadequate while manipulating the sophisticated espresso machinery. Intermittently, I committed computational miscalculations during monetary transactions, inducing profound embarrassment. I experienced distress when patrons exhibited visible frustration due to protracted service intervals.\n""
""Nevertheless, following approximately two weeks of rigorous practice and unwavering determination, my professional competency progressed considerably. I developed enhanced proficiency in beverage preparation methodologies and systematically memorized the individualized preferences of regular clientele. These familiar patrons consistently acknowledged my presence with enthusiastic greetings, substantially boosting my professional confidence.\n""
""Currently, I derive immense satisfaction from my employment at this establishment. I adhere to a structured schedule encompassing three afternoon shifts weekly, coordinated with my academic commitments. The remuneration I receive facilitates autonomous procurement of educational resources and management of personal expenses. More profoundly, this vocational experience provided invaluable insights regarding collaborative workplace dynamics and sophisticated interpersonal communication strategies. I simultaneously cultivated confidence in engaging with individuals representing diverse socioeconomic backgrounds.\n""
""My parents express profound pride concerning my emerging professional maturity and financial independence. My university associates periodically visit the establishment to observe my occupational progression, commenting that I demonstrate authentic fulfillment while serving diverse clientele.\n""
""I aspire to sustain this position throughout my remaining undergraduate academic tenure. This coffee shop experience has furnished comprehensive understanding of professional obligations and interpersonal relationship complexities.\n""",ユキがアルバイト開始時に遭遇した困難を2つ挙げ、それらがどのように克服されたかを説明してください。（50語以内）,このアルバイト経験でユキが獲得した能力はどのようなものだと考えられますか。テキストの証拠を基に答えてください。（50語以内）
5,expository,"""Urban green infrastructure represents an indispensable component of sustainable metropolitan development paradigms and exerts profound influence on environmental quality parameters and public health outcomes. Contemporary cities worldwide progressively recognize the imperative necessity of integrating comprehensive vegetation systems, recreational parks, and natural landscapes into sophisticated urban planning frameworks.\n""
""Metropolitan regions featuring abundant green infrastructure demonstrate quantifiably superior atmospheric quality indicators. Trees and botanical specimens function as sophisticated biological filtration mechanisms, systematically absorbing atmospheric carbon dioxide concentrations while simultaneously releasing oxygen through complex photosynthetic biochemical processes. This natural purification system effectively neutralizes airborne contaminants, which constitute predominant environmental hazards in densely populated urban centers. When residents consistently inhale purified atmospheric conditions, they experience substantially diminished prevalence of respiratory pathologies, cardiovascular complications, and other pollution-induced physiological disorders.\n""
""Green spaces additionally furnish essential thermoregulatory mechanisms within urban microclimates. Cities characteristically exhibit significantly elevated ambient temperatures compared to peripheral rural territories due to the urban heat island phenomenon, wherein concrete infrastructure and architectural structures systematically absorb and retain solar thermal radiation. Trees provide organic cooling systems through shade provision and evapotranspiration processes, which discharge moisture vapor into surrounding atmospheric conditions. This biological cooling mechanism substantially reduces dependency on energy-intensive mechanical climate control technologies, consequently minimizing electricity consumption and associated operational expenditures.\n""
""Public parks and botanical gardens constitute accessible recreational facilities for metropolitan inhabitants. Numerous urban residents lack private outdoor spaces, rendering communal green environments essential for physical activities and psychological wellness maintenance. These spaces accommodate diverse recreational pursuits including cardiovascular exercise regimens, contemplative meditation practices, and social community gatherings. Children benefit substantially from secure outdoor recreational environments, while adults can participate in comprehensive fitness programs or rejuvenate in tranquil natural surroundings. Consistent exposure to natural environments demonstrates empirically validated therapeutic benefits, including stress mitigation and enhanced emotional equilibrium.
""Urban green corridors simultaneously facilitate biodiversity conservation initiatives by establishing viable habitats for diverse wildlife populations. Even relatively modest parks can sustain thriving communities of avian species, arthropod populations, and small mammalian species, contributing to ecological stability within metropolitan ecosystems. These interconnected green networks enable species migration patterns and genetic diversity preservation, which are fundamental for urban environmental resilience.\n""
""However, implementing comprehensive urban greening initiatives presents formidable logistical and economic challenges. Prime metropolitan real estate commands exceptionally high market valuations, rendering land acquisition for park development economically prohibitive for municipal budgets. Occasionally, existing infrastructure requires systematic demolition to accommodate new green spaces, potentially displacing established residential or commercial enterprises and generating substantial community resistance.\n""
""Municipal administrations must allocate considerable financial resources for perpetual maintenance of green infrastructure systems. Parks demand continuous horticultural management, sophisticated irrigation networks, comprehensive security surveillance, and facility maintenance protocols. During periods of meteorological drought, sustaining vegetation becomes particularly resource-intensive and financially burdensome.\n""
""Ensuring equitable geographical distribution of green amenities across socioeconomically diverse neighborhoods represents another formidable challenge requiring strategic intervention and comprehensive policy reform.\n""",都市緑化が環境と健康に与える恩恵を2つ挙げて、それぞれの科学的根拠を説明してください。（50語以内）,都市緑化プロジェクトを推進する際の主要な制約は何だと思いますか。テキストの内容に基づいて答えてください。（50語以内）
6,narrative,"""My name is Yuki. I am an undergraduate student pursuing a rigorous academic trajectory in economics. Last month, I endeavored to secure employment at an intimate coffee establishment strategically situated adjacent to my university campus.\n""
""I experienced profound trepidation on my inaugural professional engagement. I had never previously cultivated competency within the hospitality sector's operational paradigms. The manager, Mr. Tanaka, exhibited extraordinary forbearance and magnanimity throughout my comprehensive orientation process. He meticulously elucidated the sophisticated artisanal techniques requisite for crafting diverse specialty coffee beverages and articulated comprehensive customer service protocols with remarkable precision. My colleagues demonstrated exceptional solidarity and consistently provided invaluable mentorship whenever I encountered procedural impediments or operational complexities.\n""
""Initially, every occupational responsibility appeared formidable and insurmountable. I struggled to assimilate the extensive menu encompassing numerous intricate specialty beverages with their elaborate compositional specifications. My manual dexterity proved woefully inadequate while manipulating the sophisticated espresso machinery's complex mechanisms. Intermittently, I committed egregious computational miscalculations during monetary transactions, inducing profound mortification and professional embarrassment. I experienced considerable distress when patrons exhibited overt frustration due to protracted service intervals and operational inefficiencies.\n""
""Nevertheless, following approximately two weeks of rigorous practice and unwavering perseverance, my professional competency progressed substantially. I cultivated enhanced proficiency in beverage preparation methodologies and systematically memorized the individualized preferences and dietary specifications of regular clientele. These familiar patrons consistently acknowledged my presence with effusive greetings and commendations, substantially augmenting my professional confidence and self-efficacy.\n""
""Currently, I derive immense gratification from my employment at this distinguished establishment. I adhere to a meticulously structured schedule encompassing three afternoon shifts weekly, strategically coordinated with my demanding academic obligations. The remuneration I receive facilitates autonomous procurement of educational resources and comprehensive management of personal expenditures. More profoundly, this vocational experience furnished invaluable insights regarding collaborative workplace dynamics and sophisticated interpersonal communication strategies across diverse demographic constituencies.\n""
""My parents articulate profound admiration concerning my emerging professional maturity and burgeoning financial autonomy. My university associates periodically frequent the establishment to observe my occupational progression, invariably commenting that I manifest authentic fulfillment while serving our diverse clientele.\n""
""I aspire to perpetuate this position throughout my remaining undergraduate academic tenure, recognizing its transformative impact on my personal and professional development.\n""",ユキがアルバイト開始時に遭遇した困難を2つ挙げ、それらがどのように解決されたかを詳述してください。（50語以内）,このアルバイト経験でユキが習得した技能はどのようなものだと考えられますか。テキストの記述を根拠に答えてください。（50語以内）
6,expository,"""Urban green infrastructure constitutes an indispensable cornerstone of sustainable metropolitan development paradigms and exerts profound ramifications on environmental quality parameters and public health outcomes. Contemporary cities worldwide progressively acknowledge the imperative necessity of integrating comprehensive vegetation systems, recreational amenities, and natural landscapes into sophisticated urban planning frameworks that prioritize ecological resilience and environmental sustainability.\n""
""Metropolitan regions featuring abundant green infrastructure demonstrate quantifiably superior atmospheric quality indicators and enhanced environmental performance metrics. Trees and botanical specimens function as sophisticated biological filtration mechanisms, systematically absorbing atmospheric carbon dioxide concentrations while simultaneously releasing oxygen through intricate photosynthetic biochemical processes. This natural purification apparatus effectively neutralizes airborne contaminants and particulate matter, which constitute predominant environmental hazards in densely populated urban centers. When residents consistently inhale purified atmospheric conditions, they experience substantially diminished prevalence of respiratory pathologies, cardiovascular complications, and other pollution-induced physiological disorders.\n""
""Green spaces additionally furnish essential thermoregulatory mechanisms within urban microclimates and contribute to atmospheric stabilization. Cities characteristically exhibit significantly elevated ambient temperatures compared to peripheral rural territories due to the urban heat island phenomenon, wherein concrete infrastructure and architectural structures systematically absorb and retain solar thermal radiation. Trees provide organic cooling systems through shade provision and evapotranspiration processes, which discharge moisture vapor into surrounding atmospheric conditions through sophisticated biological mechanisms. This natural cooling apparatus substantially reduces dependency on energy-intensive mechanical climate control technologies, consequently minimizing electricity consumption and associated operational expenditures while promoting environmental sustainability.\n""
""Public parks and botanical gardens constitute accessible recreational facilities and therapeutic environments for metropolitan inhabitants seeking respite from urban stressors. Numerous urban residents lack adequate private outdoor spaces, rendering communal green environments essential for physical activities, psychological wellness maintenance, and social cohesion. These spaces accommodate diverse recreational pursuits including cardiovascular exercise regimens, contemplative meditation practices, and community social gatherings that foster neighborhood solidarity.\n""
""Urban green corridors simultaneously facilitate biodiversity conservation initiatives by establishing viable habitats for diverse wildlife populations and promoting ecological connectivity. Even relatively modest parks can sustain thriving communities of avian species, arthropod populations, and small mammalian species, contributing to ecological equilibrium within metropolitan ecosystems. These interconnected green networks enable species migration patterns and genetic diversity preservation, which are fundamental prerequisites for urban environmental resilience and ecosystem stability.\n""
""However, implementing comprehensive urban greening initiatives presents formidable logistical, economic, and political challenges requiring innovative solutions. Prime metropolitan real estate commands exceptionally high market valuations, rendering land acquisition for park development economically prohibitive for municipal budgets operating under fiscal constraints. Occasionally, existing infrastructure requires systematic demolition to accommodate new green spaces, potentially displacing established residential or commercial enterprises and generating substantial community resistance and political opposition.\n""
""Municipal administrations must allocate considerable financial resources for perpetual maintenance of green infrastructure systems, including horticultural management, irrigation networks, security surveillance, and facility maintenance protocols that ensure long-term sustainability and public accessibility.\n""",都市緑化が環境と健康に与える便益を2つ挙げて、それぞれのメカニズムを科学的に説明してください。（50語以内）,都市緑化事業を実施する際の主要な制約要因は何だと思いますか。テキストの内容に基づいて答えてください。（50語以内）
